date,symbol,strategy,entry_price,exit_price,qty,net_pnl,exit_reason
2025-04-09,PHIO,ROD_C,2.131008,2.0244576,4598,-489.92,SL
2025-04-09,MRM,ROD_C,0.753026,0.7153746999999999,12376,-465.97,SL
2025-04-09,AEHL,ROD_C,6.77618,6.437371,1307,-442.82,SL
2025-04-10,MRM,ROD_C,0.921952,1.0141472,10629,979.94,TP
2025-04-14,AREC,ROD_C,0.6631279999999999,0.7294408,14778,979.97,TP
2025-04-16,ZEO,ROD_C,1.8765749999999999,2.0642325,5222,979.95,TP
2025-04-16,AREC,ROD_C,1.075334,1.19,10006,1147.35,EOD
2025-04-29,ULY,ROD_C,10.945345999999999,10.3980787,895,-489.8,SL
2025-04-30,ULY,ROD_C,15.179196,14.420236199999998,645,-489.53,SL
2025-05-20,MRM,ROD_C,1.02538,0.974111,9557,-489.98,SL
2025-05-21,MRM,ROD_C,1.7928380000000002,1.9721218000000003,5466,979.97,TP
2025-05-29,ZEO,ROD_C,2.886923076923077,2.742576923076923,3394,-489.91,SL
2025-06-02,NIVF,ROD_C,61.398999999999994,67.5389,159,976.24,TP
2025-06-03,NIVF,ROD_C,121.445,133.58950000000002,80,971.56,TP
2025-06-04,HOTH,ROD_C,1.29702,1.4267220000000003,7555,979.9,TP
2025-06-09,XTIA,ROD_C,2.4123140000000003,2.5599,4062,599.49,EOD
2025-06-11,XTIA,ROD_C,5.398674000000001,5.1287403000000005,1815,-489.93,SL
2025-06-17,SLRX,ROD_C,26.5125,25.186874999999997,369,-489.16,SL
2025-06-17,ACXP,ROD_C,9.6242,10.586620000000002,968,931.62,TP
2025-06-17,CERO,ROD_C,11.724,12.896400000000002,872,1022.33,TP
2025-06-18,IMRX,ROD_C,2.45901,2.3360595,3985,-489.96,SL
2025-06-23,INDP,ROD_C,11.528571428571428,10.952142857142857,850,-489.96,SL
2025-06-25,ULY,ROD_C,9.965454545454547,10.962000000000002,983,979.6,TP
2025-06-27,DAIC,ROD_C,20.1475,19.140125,486,-489.58,SL
2025-07-02,DAIC,ROD_C,16.131999999999998,15.325399999999997,607,-489.61,SL
2025-07-11,AZI,ROD_C,23.2078,22.04741,422,-489.68,SL
2025-07-15,KAPA,ROD_C,1.6007999999999998,1.76088,6121,979.85,TP
2025-07-31,PBM,ROD_C,7.905862068965518,8.69644827586207,1239,979.54,TP
2025-08-01,EZGO,ROD_C,10.904480000000001,11.994928000000002,898,979.22,TP
2025-08-04,PBM,ROD_C,5.918,5.6221,1655,-489.71,SL
2025-08-08,ORIS,ROD_C,3.06584,2.912548,3196,-489.92,SL
2025-08-08,MRM,ROD_C,2.9065819999999998,2.7612528999999997,3206,-465.93,SL
2025-08-11,UGRO,ROD_C,0.479396,0.45542619999999995,20442,-489.99,SL
2025-08-14,TRIB,ROD_C,1.6474624999999998,1.81220875,5948,979.91,TP
2025-08-19,PRFX,ROD_C,2.6691916666666664,2.535732083333333,3671,-489.93,SL
2025-09-10,JBDI,ROD_C,4.15125,3.9436875,2360,-489.85,SL
2025-09-17,SPRC,ROD_C,5.880454545454546,5.586431818181818,1666,-489.84,SL
2025-09-18,PBM,ROD_C,6.136724137931035,5.829887931034483,1596,-489.71,SL
2025-09-19,AMCI,ROD_C,52.53,49.9035,186,-488.53,SL
2025-09-22,ORIS,ROD_C,4.64148,5.105628,2111,979.82,TP
2025-09-23,GLTO,ROD_C,6.0,5.699999999999999,1633,-489.9,SL
2025-09-23,ORIS,ROD_C,6.436039999999999,6.114237999999999,1448,-465.97,SL
2025-09-24,QURE,ROD_C,34.273165909090906,37.7004825,285,976.79,TP
2025-09-25,SPRC,ROD_C,5.429928571428571,5.1584321428571425,1804,-489.78,SL
2025-09-29,YCBD,ROD_C,1.393552,1.5329072,7032,979.95,TP
2025-10-01,RVSN,ROD_C,0.60179,0.5717005000000001,16284,-489.98,SL
2025-10-02,MIGI,ROD_C,13.976199999999999,13.277389999999999,701,-489.87,SL
2025-10-03,BNAI,ROD_C,5.75246,5.4,1703,-600.24,EOD
2025-10-06,SOPA,ROD_C,3.3798000000000004,3.2108100000000004,2899,-489.9,SL
2025-10-06,CCTG,ROD_C,1.791902,1.7023069,5201,-465.98,SL
2025-10-07,CISS,ROD_C,3.5566666666666666,3.378833333333333,2755,-489.93,SL
2025-10-07,GLTO,ROD_C,5.392727272727273,5.932,1728,931.86,TP
2025-10-07,COCH,ROD_C,1.7276940000000003,1.9004634000000005,5922,1023.14,TP
2025-10-07,ULY,ROD_C,5.621323076923077,5.340256923076923,1998,-561.57,SL
2025-10-07,RVSN,ROD_C,0.797738,0.7578510999999999,13394,-534.25,SL
2025-10-08,ACXP,ROD_C,11.657499999999999,11.074625,840,-489.61,SL
2025-10-08,XBIO,ROD_C,6.9746428571428565,7.672107142857143,1336,931.81,TP
2025-10-08,RNAZ,ROD_C,22.38888888888889,21.269444444444442,457,-511.59,SL
2025-10-14,UGRO,ROD_C,0.5066904761904761,0.4813559523809523,19341,-490.0,SL
2025-10-14,TMQ,ROD_C,10.032178,9.5305691,928,-465.49,SL
2025-10-15,MIGI,ROD_C,32.982,31.3329,297,-489.78,SL
2025-10-20,MSAI,ROD_C,0.6979519999999999,0.6630543999999999,14041,-490.0,SL
2025-10-23,MSAI,ROD_C,0.968122,0.9197159,10122,-489.97,SL
2025-10-29,FGL,ROD_C,0.7332219999999999,0.6965608999999999,13365,-489.98,SL
2025-10-29,PPBT,ROD_C,0.9614444444444445,0.9133722222222223,9693,-465.96,SL
2025-10-29,ERNA,ROD_C,1.7552142857142858,1.9307357142857147,5049,886.21,TP
2025-10-30,ORIS,ROD_C,3.21416,3.053452,3049,-490.0,SL
2025-10-31,MSPR,ROD_C,0.37208399999999997,0.35347979999999996,26338,-490.0,SL
2025-11-03,MSPR,ROD_C,0.39868571428571425,0.43855428571428573,24580,979.97,TP
2025-11-03,SMX,ROD_C,23.055999999999997,21.9032,466,-537.2,SL
2025-11-03,RAY,ROD_C,3.65476,4.020236000000001,2800,1023.33,TP
2025-11-03,YGMZ,ROD_C,2.42888,2.671768,4626,1123.6,TP
2025-11-03,PHIO,ROD_C,2.851875,3.1370625000000003,4326,1233.72,TP
2025-11-03,AREC,ROD_C,4.784890000000001,4.545645500000001,2831,-677.3,SL
2025-11-03,DTCK,ROD_C,2.6771,2.94481,4812,1288.22,TP
2025-11-04,PTLE,ROD_C,0.3395066666666667,0.37345733333333336,28865,979.99,TP
2025-11-04,SCNX,ROD_C,0.98135,0.9322824999999999,10964,-537.98,SL
2025-11-04,RUBI,ROD_C,29.782799999999998,32.76108,343,1021.55,TP
2025-11-04,DTCK,ROD_C,4.335096,4.768605600000001,2591,1123.22,TP
2025-11-04,ORIS,ROD_C,4.29332,4.078653999999999,2873,-616.74,SL
2025-11-05,NVVE,ROD_C,12.9575,14.253250000000001,756,979.59,TP
2025-11-05,CHR,ROD_C,12.5232,13.77552,859,1075.74,TP
2025-11-05,LNAI,ROD_C,1.0964,1.2060400000000002,10775,1181.37,TP
