date,symbol,strategy,entry_price,exit_price,qty,gross_pnl,entry_cost,exit_cost,net_pnl,exit_reason,slippage_pct
2025-01-08,CGBS,ATOM_SUP_EMA200,0.829993928699973,0.8142648875231504,13113,-206.25,54.66,55.52,-316.43,Trailing Stop,0.33477508896566444
2025-01-08,VIR,ATOM_SUP_EMA200,12.98057815899582,12.783977614327508,802,-157.67,4.24,4.35,-166.26,Trailing Stop,0.31543223108154944
2025-01-10,VMAR,ATOM_SUP_EMA200,28.7488126496607,27.85992809274322,331,-294.22,1.87,1.91,-298.0,Trailing Stop,0.2508840216855544
2025-01-10,AIFF,ATOM_SUP_EMA200,3.22482880725756,3.10042610230819,2942,-365.99,14.92,15.34,-396.25,Trailing Stop,0.19552221766649971
2025-01-10,CGBS,ATOM_SUP_EMA200,0.929036958943877,0.9248773715147653,9595,-39.91,44.77,45.96,-130.64,Trailing Stop,0.11745891963892076
2025-01-13,ATPC,ATOM_SUP_EMA200,2.007154171336711,2.202294884259823,4839,944.29,24.41,25.13,894.75,TP,0.25249245877885446
2025-01-13,KAPA,ATOM_SUP_EMA200,1.2591601975922455,1.2899219197051535,8183,251.72,41.14,42.33,168.25,Trailing Stop,0.16084212808408926
2025-01-13,SLRX,ATOM_SUP_EMA200,67.14066294156063,63.14707423617088,160,-638.97,1.24,1.25,-641.46,SL,0.9979920558970456
2025-01-13,PHIO,ATOM_SUP_EMA200,6.577386765722814,6.167978622321044,1465,-599.78,7.54,7.74,-615.06,SL,1.288926630211342
2025-01-14,NMHI,ATOM_SUP_EMA200,2.5890571244867506,2.8397665069629103,3464,868.46,17.52,18.04,832.9,TP,0.2877962403938928
2025-01-14,AIFF,ATOM_SUP_EMA200,2.246737933595505,2.460520064299585,4559,974.63,23.02,23.7,927.91,TP,0.4407061169402766
2025-01-14,ERNA,ATOM_SUP_EMA200,10.198938892793151,10.189351891861822,1059,-10.15,5.53,5.69,-21.37,Trailing Stop,0.22666446157335987
2025-01-17,ZEO,ATOM_SUP_EMA200,3.081540825202019,3.3789696959215494,3017,897.34,15.29,15.75,866.3,TP,0.31640640507906403
2025-01-24,RNAZ,ATOM_SUP_EMA200,177.47306914790875,174.73772674967253,26,-71.12,1.1,1.1,-73.32,Trailing Stop,0.4683716395121187
2025-01-24,PCLA,ATOM_SUP_EMA200,4.184244293987745,4.1741740309268724,2192,-22.07,11.16,11.48,-44.71,Trailing Stop,0.1393772505532792
2025-01-28,TRIB,ATOM_SUP_EMA200,0.9187871835699287,1.0084445954006493,9776,876.49,45.11,50.52,780.86,TP,0.21978643209762588
2025-01-28,RNAZ,ATOM_SUP_EMA200,358.93275439312396,356.7269753864853,28,-61.76,1.22,1.22,-64.2,Trailing Stop,0.21734711038608354
2025-01-30,NWTG,ATOM_SUP_EMA200,22.434298595138994,24.585749588500146,410,882.09,2.25,2.33,877.51,TP,0.37272014854109126
2025-01-31,SOPA,ATOM_SUP_EMA200,1.2348441836058925,1.2496375327914162,7833,115.88,39.38,40.52,35.98,Trailing Stop,0.34788414741496615
